rooms, area, floor, year, bathrooms, kitchens, link, zone, price
3, 74, 5, 1976, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/zona-centrala/apartament-de-inchiriat-3-camere-premier-grup-est-17266, Zona Zona Centrala, 470
2, 64, 4, 1980, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/zona-centrala/apartament-de-inchiriat-2-camere-premier-grup-est-17264, Zona Zona Centrala, 380
1, 46, 3, 2020, 1, 0, https://www.titirez.ro/inchirieri-garsoniere/iasi/centrul-civic/garsoniera-de-inchiriat-premier-grup-est-1725s, Zona Centrul Civic, 350
2, 56, 1, 1988, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/nicolina/apartament-de-inchiriat-2-camere-premier-grup-est-170ou, Zona Nicolina, 300
2, 66, 1, 2018, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/carol-i/apartament-de-inchiriat-2-camere-premier-grup-est-1708u, Zona Carol I, 500
2, 50, 4, 1970, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/zona-centrala/apartament-de-inchiriat-2-camere-premier-grup-est-1705f, Zona Zona Centrala, 310
2, 40, 1, 2014, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/iasi/apartament-de-inchiriat-2-camere-premier-grup-est-16yqi, Zona Iasi, 250
2, 52, 5, 2018, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/pacurari/apartament-de-inchiriat-2-camere-premier-grup-est-16yah, Zona Pacurari, 320
1, 42, 2, 1988, 1, 0, https://www.titirez.ro/inchirieri-garsoniere/iasi/gara/garsoniera-de-inchiriat-premier-grup-est-16xz9, Zona Gara, 230
1, 38, 3, 1979, 1, 0, https://www.titirez.ro/inchirieri-garsoniere/iasi/gara/garsoniera-de-inchiriat-premier-grup-est-16xxl, Zona Gara, 250
1, 44, 2, 1990, 1, 0, https://www.titirez.ro/inchirieri-garsoniere/iasi/pacurari/garsoniera-de-inchiriat-premier-grup-est-16wia, Zona Pacurari, 230
3, 70, 6, 1984, 2, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/centrul-civic/apartament-de-inchiriat-3-camere-premier-grup-est-16vbi, Zona Centrul Civic, 500
